Agency,Associated Prime Vendor,Budget Code,Check Amount,Contract ID,Contract Purpose,Department,Document ID,Expense Category,Fiscal year,Industry,Issue Date,M/WBE Category,Payee Name,Sub Vendor,Woman Owned Business
Department of Education,N/A,8870 (REIMBURSEABLE SUPPORT - NPS),4000,DO104020244238968,Not defined,CATEGORICAL PROGRAMS - OTPS,20250052959-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-07-29,Non-M/WBE,HIGHERSCHOOL PUBLISHING COMPANY,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4500,POC04020243067425,Not defined,CATEGORICAL PROGRAMS - OTPS,20250050066-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-26,Black American,"PROJECT PAWN, LLC",No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),5000,DO104020244175078,Not defined,CATEGORICAL PROGRAMS - OTPS,20250042462-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-07-24,Non-M/WBE,DISTRICT PUBLIC LLC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),10021,POC04020243063854,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250029089-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-16,Non-M/WBE,SCHOOL DATA CORP,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),10031,DO104020244098006,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),10041,DO104020244098006,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,8489 (GE REIMBURSABLE SUPPORT),10051,CT104020243043064,3 BIDS-SERVICES,GE INSTR & SCH LEADERSHIP - OTPS,20250028097-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-15,Non-M/WBE,YOUR HIDDEN TREASURE INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),10061,DO104020244097955,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,1731 (PROGRAM MANAGMENT & CONTRACT MAINTENANCE),12000,DO104020244049449,Not defined,SCHOOL FACILITIES - OTPS,20250027539-1-DSB-EFT,PROF SERV ENGINEER & ARCHITECT,2025,Unknown,2024-07-15,Non-M/WBE,EME CONSULTING ENGINEERING AND ARCHITECTURE GROUP LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,DO104020244107162,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243092750,Not defined,CATEGORICAL PROGRAMS - OTPS,20250027954-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-15,Asian American,MY ROBIN INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12345,POC04020243100751,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025924-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-15,Individuals and Others,THE GHETTO FILM SCHOOL INC,No,No 
Department of Education,N/A,4620 (BEFORE/AFTER SCH TIME & EXTEND USE - HS),1334,DO104020244288955,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250025992-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Black American,FOREVER LOVED ENTERTAINMENT CORPORATION,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),23456,POC04020243106353,Not defined,CATEGORICAL PROGRAMS - OTPS,20250026608-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-15,Black American,VOICES INTERNATIONAL PUBLICATIONS INC,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),234,DO104020244097955,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),3500,DO104020244107162,Not defined,CATEGORICAL PROGRAMS - OTPS,20250025749-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-07-15,Individuals and Others,DREAMYARD PROJECT INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4000,POC04020243110283,Not defined,CATEGORICAL PROGRAMS - OTPS,20250027354-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-15,Non-M/WBE,CARNEGIE LEARNING INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4500,CT104020243075716,MWBE-SERVICES,CATEGORICAL PROGRAMS - OTPS,20250027848-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-15,Women (Non-Minority),THE BALANCE BETWEEN INC,No,Yes
Department of Education,N/A,A481 (ARPA FOR SCHOOLS),5000,POC04020243116839,Not defined,CATEGORICAL PROGRAMS - OTPS,20250026249-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-15,Women (Non-Minority),POWERTOOLS LLC,No,Yes
Department of Education,N/A,8816 (REGIONAL & CITYWIDE INST & OPS ADMIN),5500,POC04020243103581,Not defined,CATEGORICAL PROGRAMS - OTPS,20250026608-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-15,Black American,VOICES INTERNATIONAL PUBLICATIONS INC,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),6500,PON104020244000210,Not defined,CATEGORICAL PROGRAMS - OTPS,20250026960-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Unknown,2024-07-15,Non-M/WBE,VANGUARD DIRECT INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),7000,POC04020243081713,Not defined,CATEGORICAL PROGRAMS - OTPS,20250024669-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-12,Asian American,MY ROBIN INC,No,No 
Department of Education,N/A,8489 (GE REIMBURSABLE SUPPORT),7500,POC04020243053059,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250020712-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-08,Hispanic American,JEM GAMES LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),8000,POC04020243122684,Not defined,CATEGORICAL PROGRAMS - OTPS,20250019048-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-08,Individuals and Others,STELLA ADLER STUDIO OF ACTING,No,No 
Department of Education,N/A,4605 (INSTRUCTIONAL SUPPORT SERVICES - HS),12000,DO104020244151396,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250020622-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-07-08,Non-M/WBE,DISTRICT PUBLIC LLC,No,No 
Department of Education,N/A,8870 (REIMBURSEABLE SUPPORT - NPS),12000,DO104020244217376,Not defined,CATEGORICAL PROGRAMS - OTPS,20250020316-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-07-08,Non-M/WBE,HIGHERSCHOOL PUBLISHING COMPANY,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),1334,POC04020243122447,Not defined,CATEGORICAL PROGRAMS - OTPS,20250022621-1-DSB-AD,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-08,Non-M/WBE,DB ADVISORS LLC,No,No 
Department of Education,N/A,1731 (PROGRAM MANAGMENT & CONTRACT MAINTENANCE),23456,PON104020244343886,Not defined,SCHOOL FACILITIES - OTPS,20250017690-1-DSB-EFT,NON OVERNIGHT TRVL EXP-GENERAL,2025,Unknown,2024-07-05,Individuals and Others,MTA BRIDGES AND TUNNELS,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),234,POC04020243096631,Not defined,CATEGORICAL PROGRAMS - OTPS,20250010056-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-03,Non-M/WBE,SOUL SCIENCE LAB LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,CT104020243011000,SOLE VENDOR-COMMODITIES,CATEGORICAL PROGRAMS - OTPS,20250006863-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Goods,2024-07-02,Non-M/WBE,SHANE PURSE ASSOCIATES INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),3500,POC04020243055929,Not defined,CATEGORICAL PROGRAMS - OTPS,20250003125-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-07-01,Non-M/WBE,G8 CONSULTING GROUP INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4000,CT104020243093126,COMPETITIVE GRANT-SERVICES,CATEGORICAL PROGRAMS - OTPS,20250001865-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Human Services,2024-07-01,Non-M/WBE,SHANE PURSE ASSOCIATES INC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),4500,CT104020243099168,3 BIDS-SERVICES,GE INSTR & SCH LEADERSHIP - OTPS,20250004904-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-07-01,Non-M/WBE,National Event Connection Inc,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),5500,POC04020243010679,Not defined,CATEGORICAL PROGRAMS - OTPS,20250002689-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-07-01,Individuals and Others,SPEAK Mentorship,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),6000,DO104020244184686,Not defined,CATEGORICAL PROGRAMS - OTPS,20250002241-1-DSB-EFT,TRANSP OF PUPILS-NYCTA,2025,Unknown,2024-07-01,Non-M/WBE,"VINNY'S BUS SERVICE, INC.",No,No 
Department of Education,N/A,A481 (ARPA FOR SCHOOLS),7000,POC04020243022382,Not defined,CATEGORICAL PROGRAMS - OTPS,20240554025-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-27,Black American,THE CIPHER GROUP INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),7500,POC04020243111769,Not defined,CATEGORICAL PROGRAMS - OTPS,20240553555-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-27,Black American,EDIFII US LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),8500,DO104020244277836,Not defined,CATEGORICAL PROGRAMS - OTPS,20240551624-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Unknown,2024-06-26,Black American,ASHEENA BAEZ CONSULTING LLC,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243031544,Not defined,CATEGORICAL PROGRAMS - OTPS,20240668894-1-DSB-AD,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-26,Black American,THE CIPHER GROUP INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243114483,Not defined,CATEGORICAL PROGRAMS - OTPS,20240551675-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-26,Non-M/WBE,HUNTER MATH AND STEM CONSULTING PARTNERS LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4000,CT104020243045960,3 BIDS-SERVICES-001,CATEGORICAL PROGRAMS - OTPS,20240549169-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Not Classified,2024-06-24,Non-M/WBE,MATHCONCEPTS CONSULTING INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4500,DO104020244184686,Not defined,CATEGORICAL PROGRAMS - OTPS,20240547729-1-DSB-EFT,TRANSP OF PUPILS-NYCTA,2024,Unknown,2024-06-24,Non-M/WBE,"VINNY'S BUS SERVICE, INC.",No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),7500,DO104020244220264,Not defined,CATEGORICAL PROGRAMS - OTPS,20240545093-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-20,Individuals and Others,BEAM CENTER INC,No,No 
Department of Education,N/A,8765 (PRE-K FOR THREE-YEAR-OLDS),8000,CT104020238803901,UPK-BTF,UNIVERSAL PRE-K - OTPS,20240544429-1-DSB-EFT,PMTS CONTRACT/CORPORAT SCHOOL,2024,Human Services,2024-06-20,Black American,LEARNING LADDER DAYCARE CENTER LLC,No,Yes
Department of Education,N/A,4605 (INSTRUCTIONAL SUPPORT SERVICES - HS),12000,DO104020244265584,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20240541093-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-18,Individuals and Others,"FUND FOR THE CITY OF NEW YORK, INC.",No,No 
Department of Education,N/A,A481 (ARPA FOR SCHOOLS),12000,DO104020244312524,Not defined,CATEGORICAL PROGRAMS - OTPS,20240541214-1-DSB-EFT,BOOKS-OTHER,2024,Unknown,2024-06-18,Non-M/WBE,GL GROUP INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,DO104020244081025,Not defined,CATEGORICAL PROGRAMS - OTPS,20240653567-1-DSB-AD,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-18,Individuals and Others,EDUCATIONAL TESTING SERVICE,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243115521,Not defined,CATEGORICAL PROGRAMS - OTPS,20240539935-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2024,Not Classified,2024-06-17,Non-M/WBE,COOKIES KIDS.COM INC.,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,CT104020243057524,3 BIDS-SERVICES,CATEGORICAL PROGRAMS - OTPS,20240540106-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Not Classified,2024-06-17,Women (Non-Minority),STEM STRATEGIES INC,No,Yes
Department of Education,N/A,4801 (SE CLASSROOM INSTRUCTION - E/M),12000,DO104020244259996,Not defined,SE INSTR & SCH LEADERSHIP -OTPS,20240539639-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-17,Individuals and Others,NEW YORK UNIVERSITY,No,No 
Department of Education,N/A,8489 (GE REIMBURSABLE SUPPORT),3500,CT104020243043064,3 BIDS-SERVICES,GE INSTR & SCH LEADERSHIP - OTPS,20240540344-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Not Classified,2024-06-17,Non-M/WBE,YOUR HIDDEN TREASURE INC,No,No 
Department of Education,N/A,L481 (ARPA FOR LEARNING LOSS),4000,DO104020244313250,Not defined,CATEGORICAL PROGRAMS - OTPS,20240539639-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-17,Individuals and Others,NEW YORK UNIVERSITY,No,No 
Department of Education,N/A,2317 (FIELD MANAGEMENT),4500,POC04020243124999,Not defined,SCHOOL SUPPORT ORGANIZATION OTPS,20240538609-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-17,Black American,VOICES INTERNATIONAL PUBLICATIONS INC,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),5000,DO104020244309654,Not defined,CATEGORICAL PROGRAMS - OTPS,20240539440-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2024,Unknown,2024-06-17,Non-M/WBE,GL GROUP INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),5500,POC04020243058200,Not defined,CATEGORICAL PROGRAMS - OTPS,20240537976-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-17,Non-M/WBE,FUN BRICKS LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),7000,CT104020243011859,MWBE-SERVICES,CATEGORICAL PROGRAMS - OTPS,20240534564-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Not Classified,2024-06-13,Asian American,MY ROBIN INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),7500,POC04020243080461,Not defined,CATEGORICAL PROGRAMS - OTPS,20240534382-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2024,Not Classified,2024-06-13,Black American,EDIFII US LLC,No,No 
Department of Education,N/A,4305 (INSTRUCTIONAL SUPPORT SERV - ELEM / MID),8000,POC04020243089395,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20240533432-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Not Classified,2024-06-12,Women (Non-Minority),Kara Louise Imm,No,Yes
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),12000,POC04020243101482,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20240531493-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2024,Not Classified,2024-06-11,Black American,EDIFII US LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,DO104020244128079,Not defined,CATEGORICAL PROGRAMS - OTPS,20240530247-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2024,Unknown,2024-06-10,Non-M/WBE,SOLVED CONSULTANCY LLC,No,No 
Department of Environmental Protection,SCALAMANDRE - GRAMERCY JV,NA (Unknown),12000,CT182620228806388,Site Safety Representative,N/A,N/A,N/A,2024,Professional Services,2024-04-30,Women (Non-Minority),SAFETY AND QUALITY PLUS INC,Yes,Yes
Department of Environmental Protection,SCALAMANDRE - GRAMERCY JV,NA (Unknown),12000,CT182620228806388,Site Safety Representative,N/A,N/A,N/A,2024,Professional Services,2024-04-19,Women (Non-Minority),SAFETY AND QUALITY PLUS INC,Yes,Yes
Department of Health and Mental Hygiene,N/A,8408 (COORD. MENTAL HEALTH PLANNING),3500,CT181620241418827,PROFESSIONAL SERVICES CONSULTANT TO PROMOTE MENTAL HEALTH AN,MENTAL HYGIENE MANAGEMENT SERVICES- OTPS,20250086210-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Standardized Services,2024-08-23,Individuals and Others,EL PUENTE DE WILLIAMSBURG INC,No,No 
Department of Health and Mental Hygiene,N/A,6128 (FFY2018 UASI CTL OTPS),4000,CT181620248805446,DPMU Deployment & Operations Support,OFFICE OF CHIEF MEDICAL EXAMINER - OTPS,20250071727-1-DSB-EFT,PROF SERV OTHER,2025,Not Classified,2024-08-12,Asian American,SUNDAY SAUCE LTD,No,Yes
Department of Health and Mental Hygiene,N/A,4116 (PUBLIC HEALTH ENGINEERING),8500,CT181620248803991,Technical Maintenance and Support,ENVIRONMENTAL HEALTH - OTPS,20240543736-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2024,Human Services,2024-06-20,Non-M/WBE,GROVEWARE ENTERPRISE TECHNOLOGIES  INC,No,No 
Department of Health and Mental Hygiene,N/A,4116 (PUBLIC HEALTH ENGINEERING),12000,CT181620248803991,Technical Maintenance and Support,ENVIRONMENTAL HEALTH - OTPS,20240540869-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2024,Human Services,2024-06-18,Non-M/WBE,GROVEWARE ENTERPRISE TECHNOLOGIES  INC,No,No 
Department of Health and Mental Hygiene,N/A,2150 (HIV SURVEILLANCE & RESEARCH),8500,CT181620238804619,SAS training for DOHMH Staff,DISEASE CONTROL - OTPS,20240531932-1-DSB-EFT,TRAINING PRGM CITY EMPLOYEES,2024,Standardized Services,2024-06-12,Non-M/WBE,EXECUTIVE INFORMATION SYSTEMS LLC,No,No 
Department of Homeless Services,N/A,8903 (HOMELESS MANAGEMENT INFORMATION SYSTEMS),8500,POD07120242023521,Purchase of Qualtrics -DesignXM Subscription,SHELTER INTAKE AND PROGRAM - OTPS,20250104045-1-DSB-EFT,BOOKS-OTHER,2025,Goods,2024-09-03,Non-M/WBE,QUALTRICS LLC,No,No 
Department of Information Technology and Telecommunications,INTERNATIONAL BUSINESS MACHINES CORP,NA (Unknown),7500,CT185820248808391,Artech is acting as a M/WBE sub contractor to IBM.,N/A,N/A,N/A,2024,Professional Services,2024-02-27,Asian American,ARTECH INFORMATION SYSTEMS LLC,Yes,No 
Department of Information Technology and Telecommunications,INTERNATIONAL BUSINESS MACHINES CORP,NA (Unknown),8000,CT185820248808391,Artech is acting as a M/WBE sub contractor to IBM.,N/A,N/A,N/A,2024,Professional Services,2024-02-13,Asian American,ARTECH INFORMATION SYSTEMS LLC,Yes,No 
Department of Sanitation,N/A,1614 (CHARTER MANDATED SNOW - OTPS),3500,POD82720252008822,Warehouse Equipment and Supplies (Not Otherwise Classified),SNOW-OTPS,20250146608-1-DSB-EFT,AUTOMOTIVE SUPPLIES & MATERIAL,2025,Unknown,2024-10-03,Women (Non-Minority),EPAUL DYNAMICS INC,No,Yes
Department of Sanitation,MPCC CORP,NA (Unknown),10031,CT182720191420356,Vibration Monitoring,N/A,N/A,N/A,2022,Construction Services,2021-07-08,Women (Non-Minority),BRIGHTCON LLC,Yes,Yes
Department of Small Business Services,N/A,1050 (NON PROFIT INDIRECT RATES),12000,CT180120248803719,IBSP Next Street NAQ Extension - Manhattan,DEPT. OF BUSINESS O.T.P.S.,20250074537-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Professional Services,2024-08-13,Non-M/WBE,"NEXT STREET FINANCIAL,LLC",No,No 
Department of Small Business Services,N/A,1691 (EDC-EM INTERIM FLOOD PROTECTION),10041,CTA180120247207276,Citywide Interim Flood Protection - 60700002,ECONOMIC DEVELOPMENT CORP.,20250063928-1-DSB-EFT,ECONOMIC DEVELOPMENT,2025,Standardized Services,2024-08-06,Individuals and Others,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,No,No 
Department of Social Services,N/A,9940 (DHS ITS),5000,CT106920248801134,Continuity of Service,ADMINISTRATION-OTPS,20250113454-1-DSB-EFT,PROF SERV COMPUTER SERVICES,2025,Professional Services,2024-09-11,Asian American,INFOPEOPLE CORPORATION,No,No 
Department of Social Services,N/A,9972 (COC SSO CAPS DV BONUS GRANT),12000,POD06920242028188,Not defined,ADULT SERVICES - OTPS,20250057417-1-DSB-EFT,PROF SERV OTHER,2025,Goods,2024-07-31,Non-M/WBE,SHARLENA POWELL,No,No 
Department of Social Services,N/A,9596 (HOMEBASE),8000,CT106920211404321,Homebase Homelessness Prevention Network - Bronx Service Are,PUBLIC ASSISTANCE - OTPS,20240553279-1-DSB-EFT,HOMELESS FAMILY SERVICES,2024,Human Services,2024-06-27,Individuals and Others,HELP SOCIAL SERVICE CORPORATION,No,No 
Department of Social Services,N/A,9912 (MANAGEMENT INFORMATION SYSTEMS),6000,CT106920238802973,MSQUARE SYSTEMS INC IT Services,ADMINISTRATION-OTPS,20240535835-1-DSB-EFT,PROF SERV COMPUTER SERVICES,2024,Professional Services,2024-06-14,Asian American,Msquare Systems Inc,No,No 
Department of Social Services,N/A,9912 (MANAGEMENT INFORMATION SYSTEMS),6500,CT106920238802973,MSQUARE SYSTEMS INC IT Services,ADMINISTRATION-OTPS,20240535835-1-DSB-EFT,PROF SERV COMPUTER SERVICES,2024,Professional Services,2024-06-14,Asian American,Msquare Systems Inc,No,No 
Department of Transportation,N/A,2165 (ARTERIAL FUNDING SWITCH (CHIPS)),10061,DO185720222255410,Not defined,OTPS-HIGHWAY OPERATIONS,20250062398-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Unknown,2024-08-05,Non-M/WBE,GABRIELLI TRUCK SALES LTD,No,No 
Department of Transportation,N/A,2165 (ARTERIAL FUNDING SWITCH (CHIPS)),12000,DO185720222255410,Not defined,OTPS-HIGHWAY OPERATIONS,20250062398-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Unknown,2024-08-05,Non-M/WBE,GABRIELLI TRUCK SALES LTD,No,No 
Department of Transportation,N/A,2165 (ARTERIAL FUNDING SWITCH (CHIPS)),12000,DO185720222255410,Not defined,OTPS-HIGHWAY OPERATIONS,20250062398-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Unknown,2024-08-05,Non-M/WBE,GABRIELLI TRUCK SALES LTD,No,No 
Fire Department,CAMERON ENGINEERING & ASSOC- ASSOCIATES LLP,NA (Unknown),6500,CT105720190000796,Expediting /Code Consulting,N/A,N/A,N/A,2024,Professional Services,2024-06-13,Non-M/WBE,KM ASSOCIATES OF NEW YORK INC.,Yes,No 
Housing Preservation and Development,N/A,8035 (COMMUNITY CONSULTANTS / COUNCIL ADD-ONS),4500,CT180620238806034,Provision of Housing Related  and Public Education Services,OFFICE OF DEVELOPMENT OTPS,20250083986-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Human Services,2024-08-21,Non-M/WBE,"WOODSIDE ON THE MOVE, INC.",No,No 
Housing Preservation and Development,N/A,6029 (TENANT INTERIM LEASE),8500,PCC180620235191225,Not defined,HOUSING MANAGEMENT AND SALES,20250020818-1-DSB-EFT,MAINT & REP GENERAL,2025,Standardized Services,2024-07-08,Non-M/WBE,GREEN POWER ELECTRIC CORP,No,No 
Housing Preservation and Development,GRANITE ENVIRONMENTAL LLC,NA (Unknown),6500,CT180620248801664,Plumbing,N/A,N/A,N/A,2025,Standardized Services,2024-09-13,Non-M/WBE,24 SEVEN PLUMBING INC,Yes,No 
Independent Budget Office,N/A,2000 (OTHER THAN PERSONAL SERVICE),12000,POD13220242031475,Facility rental for IBO's 35th Anniversary Charter Adoption,OTHER THAN PERSONAL SERVICE,20250006138-1-DSB-EFT,CONTRACTUAL SERVICES GENERAL,2025,Not Classified,2024-07-02,Individuals and Others,NEW YORK LAW SCHOOL,No,No 
